Department/Major,Catalog As Of,From,To,Transfer Course,Destination Course
"Business Administration, BS",2019-2020, Solano Community College," California State University, Sacramento",ACCT​ 1,ACCY​ 1
"Business Administration, BS",2019-2020, Solano Community College," California State University, Sacramento",ACCT​ 2,ACCY​ 2
"Business Administration, BS",2019-2020, Solano Community College," California State University, Sacramento",ECON​ 1,ECON​ 1A
"Business Administration, BS",2019-2020, Solano Community College," California State University, Sacramento",ECON​ 2,ECON​ 1B
"Business Administration, BS",2019-2020, Solano Community College," California State University, Sacramento",MATH​ 30,MATH​ 24
"Business Administration, BS",2019-2020, Solano Community College," California State University, Sacramento",BUS​ 18,MGMT​ 10
"Business Administration, BS",2019-2020, Solano Community College," California State University, Sacramento",MATH​ 11,STAT​ 1
"Business Administration, BS",2019-2020, Solano Community College," California State University, Sacramento",CIS​ 50,MIS​ 3
"Business Administration, BS",2019-2020, Solano Community College," California State University, Sacramento",CIS​ 73,MIS​ 10
"Business Administration, BS",2019-2020, Solano Community College," California State University, Sacramento",CIS​ 15,CIS​ 73 ### OR ### MIS​ 15
